Maxon: ECX SPEED 8M (brushless),6,0.902,6,35500,1.23,5.18,1.8,1.55,0.66,8,2,28.2
Maxon: RE13 (118585),4.8,0.72,24,13600,1.92,8.58,1.76,3.14,0.57,13,2.73,34.5
Maxon: RE13 (118586),6,0.602,24,13600,2.05,9.25,2.57,3.97,0.6,13,2.33,34.5
Maxon: RE13 (118588),7.2,0.495,24,13100,2.12,9.03,3.96,4.96,0.61,13,1.82,34.5
Maxon: DCX 14L (brushed),4.5,1.2,26,7740,6.29,19.1,1.29,5.47,0.77,14,3.49,34.6
Maxon: DCX 14L (brushed),6,0.884,26,7730,6.19,18.8,2.33,7.3,0.77,14,2.57,34.6
Maxon: DC-max 16S (brushed),6,0.72,23,9960,3.79,12.1,2.79,5.62,0.73,16,2.15,25.4
Maxon: EC 20 (brushless),6,0.56,15,9070,3.22,5.29,6.67,5.88,0.59,20,0.9,10.5
Maxon: EC 20 (5W),6,1.31,22,9350,7.59,17.2,2.05,5.88,0.67,20,2.93,15
