Maxon: SPEED 6 M ,6,0.517,3,62700,0.412,1.52,3.49,0.882,0.67,6
Maxon: SPEED 8 M,6,0.687,6,35400,0.917,3.04,3.02,1.53,0.6,8
Maxon: RE13 (118500),6,0.367,21,6810,2.95,5.49,9.03,8.92,0.76,13
Maxon: RE13 (118501),7.2,0.294,21,6590,2.95,5.26,14,10.91,0.75,13
Maxon: RE 16 (320175),6,0.365,21,7960,2.54,5.92,7.2,7.68,0.8,16
Maxon: A-max 16 (110073) (6 options?),6,0.495,22,9360,2.42,4.05,8.25,6.12,0.75,16
Maxon: DC-max 16 (brushed),6,0.575,23,7890,4.04,10.5,4.1,7.91,0.81,16
