Maxon: ECX SPEED 8M ,6,0.902,6,35500,1.23,5.18,1.8,1.55,0.66,8
Maxon: RE13 ,6,0.602,24,13600,2.05,9.25,2.57,3.97,0.6,13
Maxon: RE13 (7.2V),7.2,0.495,24,13100,2.12,9.03,3.96,4.96,0.61,13
Maxon: DCX 14L,6,0.884,26,7730,6.19,18.8,2.33,7.3,0.77,14
Maxon: DC-max 16S,6,0.72,23,9960,3.79,12.1,2.79,5.62,0.73,16
Maxon: EC 20 ,6,0.56,15,9070,3.22,5.29,6.67,5.88,0.59,20
